policy,scene_id,seed,full_run_id,command_only_run_id,full_audit_valid,command_only_audit_valid,full_route_contract_ok,command_only_route_contract_ok,metrics_present,full_progress,command_only_progress,delta_progress,full_progress_rel,command_only_progress_rel,delta_progress_rel,full_offroad,command_only_offroad,delta_offroad,full_collision_any,command_only_collision_any,delta_collision_any,full_plan_deviation,command_only_plan_deviation,delta_plan_deviation,full_dist_to_gt_trajectory,command_only_dist_to_gt_trajectory,delta_dist_to_gt_trajectory
route_following,clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,17,semantic_ablation_route_following_clipgt-01d503d4-449b-46fc-8d78-9085e70d3554_17_full_contract,semantic_ablation_route_following_clipgt-01d503d4-449b-46fc-8d78-9085e70d3554_17_command_only_route,true,false,true,false,true,0.16,0.16,0,0.65,0.65,0,0,0,0,1,1,0,0.06,0.06,0,,,
route_following,clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9,17,semantic_ablation_route_following_clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9_17_full_contract,semantic_ablation_route_following_clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9_17_command_only_route,true,false,true,false,true,0.47,0.51,-0.04,0.81,0.83,-0.02,0,0,0,1,1,0,0.15,0.13,0.02,,,
route_following,clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa,17,semantic_ablation_route_following_clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa_17_full_contract,semantic_ablation_route_following_clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa_17_command_only_route,true,false,true,false,true,0.17,0.86,-0.69,0.9,0.86,0.04,0,0,0,1,0,1,1.11,0.07,1.04,,,
route_following,clipgt-0499fb41-122d-4180-83af-f954a9974d3b,17,semantic_ablation_route_following_clipgt-0499fb41-122d-4180-83af-f954a9974d3b_17_full_contract,semantic_ablation_route_following_clipgt-0499fb41-122d-4180-83af-f954a9974d3b_17_command_only_route,true,false,true,false,true,0.21,0.21,0,0.89,0.89,0,0,0,0,1,1,0,0.71,0.71,0,,,
route_following,clipgt-05f35348-9de0-4f68-ac65-f31316dbb59e,17,semantic_ablation_route_following_clipgt-05f35348-9de0-4f68-ac65-f31316dbb59e_17_full_contract,semantic_ablation_route_following_clipgt-05f35348-9de0-4f68-ac65-f31316dbb59e_17_command_only_route,true,false,true,false,true,0.92,0.26,0.66,0.92,0.95,-0.03,0,0,0,0,1,-1,0.32,1.47,-1.15,,,
route_following,clipgt-07981e6a-22dd-4796-ad2f-1252037ecd28,17,semantic_ablation_route_following_clipgt-07981e6a-22dd-4796-ad2f-1252037ecd28_17_full_contract,semantic_ablation_route_following_clipgt-07981e6a-22dd-4796-ad2f-1252037ecd28_17_command_only_route,true,false,true,false,true,0.19,0.61,-0.42,0.43,0.53,-0.1,0,0,0,1,1,0,0.39,0.09,0.3,,,
